"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
668709,"Bleday, JJ",511,0.9012345679012346,386,"73.894031037",0.3483365949119373,0.2979274611398964,0.22504892367906065,0.15284974093264247,0.11545988258317025,"7.295062896",17,-1.987513669529598,125,0.2446183953033268,190,0.37181996086105673
671056,"Herrera, Iván",709,0.908974358974359,578,"73.887979591",0.4259520451339917,0.28719723183391005,0.23413258110014104,0.14013840830449828,0.11424541607898449,"7.789990776",14,-17.482097291066605,131,0.1847672778561354,283,0.3991537376586742
695600,"Jensen, Carter",636,0.9008498583569405,477,"73.887247767",0.3789308176100628,0.31446540880503143,0.2358490566037736,0.1530398322851153,0.11477987421383648,"7.129936368",32,-17.498887663714694,159,0.25,226,0.3553459119496855
650490,"Díaz, Yandy",682,0.9069148936170213,596,"73.82954154",0.3988269794721407,0.32550335570469796,0.2844574780058651,0.20469798657718122,0.17888563049853373,"7.59522151",9,0.8891923818736075,86,0.12609970674486803,303,0.4442815249266862
677951,"Witt Jr., Bobby",633,0.9029957203994294,484,"73.80004297",0.40600315955766186,0.3739669421487603,0.2859399684044234,0.20867768595041322,0.15955766192733017,"6.975369953",14,-5.0686697035614285,149,0.2353870458135861,274,0.43285939968404424
677800,"Abreu, Wilyer",764,0.9062870699881376,592,"73.779370903",0.37303664921465973,0.3125,0.24214659685863874,0.14864864864864866,0.11518324607329843,"7.174114437",8,-17.515717247080225,172,0.225130890052356,286,0.3743455497382199
671277,"García Jr., Luis",595,0.9070121951219512,492,"73.778782655",0.3848739495798319,0.33739837398373984,0.27899159663865547,0.18902439024390244,0.15630252100840336,"7.399174605",9,9.701836081857927,103,0.173109243697479,254,0.426890756302521
671732,"Butler, Lawrence",472,0.9042145593869731,344,"73.718214513",0.375,0.25872093023255816,0.1885593220338983,0.13662790697674418,0.09957627118644068,"7.004503136",10,-26.38656332994467,128,0.2711864406779661,152,0.3220338983050847
664040,"Lowe, Brandon",768,0.9003516998827668,524,"73.652578945",0.40104166666666674,0.3320610687022901,0.2265625,0.16412213740458015,0.11197916666666667,"7.048511992",30,-6.254876507842354,244,0.3177083333333333,254,0.3307291666666667
542303,"Ozuna, Marcell",447,0.9030303030303031,308,"73.56061217",0.37807606263982096,0.288961038961039,0.19910514541387025,0.12987012987012986,0.0894854586129754,"7.488965391",4,-24.307377840581886,139,0.31096196868008946,145,0.3243847874720358
686555,"Collins, Isaac",461,0.900390625,369,"73.534383037",0.33188720173535796,0.3224932249322493,0.25813449023861174,0.14905149051490515,0.1193058568329718,"6.800862538",20,-8.077504427703477,92,0.19956616052060738,202,0.43817787418655096
701538,"Merrill, Jackson",765,0.9042553191489362,570,"73.385217608",0.3032679738562091,0.2754385964912281,0.20522875816993463,0.13157894736842105,0.09803921568627451,"7.57122434",13,-27.872388296634597,195,0.2549019607843137,248,0.3241830065359477
676475,"Burleson, Alec",720,0.9045226130653267,590,"73.35786825",0.3236111111111112,0.35423728813559324,0.2902777777777778,0.19322033898305085,0.15833333333333333,"7.579681042",7,-3.961796165538501,130,0.18055555555555555,309,0.42916666666666664
668901,"Vientos, Mark",450,0.9127789046653144,314,"73.344510089",0.2866666666666667,0.32802547770700635,0.2288888888888889,0.18471337579617833,0.1288888888888889,"7.517232956",12,-11.300016102083841,136,0.3022222222222222,165,0.36666666666666664
673548,"Suzuki, Seiya",595,0.9001512859304085,452,"73.306910874",0.3596638655462186,0.27876106194690264,0.21176470588235294,0.15265486725663716,0.11596638655462185,"7.242692992",15,-4.55067999927306,143,0.24033613445378152,220,0.3697478991596639
672960,"Okamoto, Kazuma",723,0.9014962593516209,504,"73.268891037",0.35961272475795303,0.32341269841269843,0.22544951590594745,0.15476190476190477,0.1078838174273859,"7.915143651",20,-10.434705458457948,219,0.3029045643153527,231,0.31950207468879666
592663,"Realmuto, J.T.",445,0.9044715447154471,345,"73.247352584",0.348314606741573,0.35942028985507246,0.2786516853932584,0.14202898550724638,0.1101123595505618,"7.414250225",8,-17.209584347527088,100,0.2247191011235955,178,0.4
661388,"Contreras, William",593,0.9053435114503817,493,"73.21682317",0.35075885328836437,0.3894523326572008,0.32377740303541314,0.18661257606490872,0.1551433389544688,"7.161506054",11,-14.674192594444788,100,0.16863406408094436,295,0.4974704890387858
679529,"Torkelson, Spencer",668,0.9039242219215156,484,"73.200527201",0.25898203592814373,0.2809917355371901,0.20359281437125748,0.13636363636363635,0.09880239520958084,"7.773176542",13,-18.73302513158721,184,0.2754491017964072,216,0.32335329341317365
592885,"Yelich, Christian",479,0.9037735849056604,335,"73.166272171",0.3068893528183716,0.29253731343283584,0.2045929018789144,0.14029850746268657,0.09812108559498957,"7.582228518",6,-18.174134049750688,144,0.30062630480167013,167,0.348643006263048
665862,"Chisholm Jr., Jazz",631,0.9027181688125894,449,"73.12848065",0.30903328050713147,0.32962138084632514,0.23454833597464342,0.1447661469933185,0.10301109350237718,"7.926887369",14,-18.96158292387164,182,0.2884310618066561,209,0.3312202852614897
669357,"Gorman, Nolan",420,0.8993576017130621,258,"73.063367833",0.30476190476190473,0.29069767441860467,0.17857142857142858,0.15503875968992248,0.09523809523809523,"7.573159143",8,-17.345064515078,162,0.38571428571428573,117,0.2785714285714286
681624,"Pages, Andy",766,0.8990610328638498,617,"73.062994556",0.29895561357702355,0.30307941653160453,0.24412532637075718,0.1507293354943274,0.12140992167101827,"7.643656423",14,-11.503361042134093,149,0.19451697127937337,303,0.39556135770234985
543807,"Springer, George",551,0.9018003273322422,441,"72.996401071",0.3248638838475499,0.2857142857142857,0.22867513611615245,0.12471655328798185,0.0998185117967332,"7.444601016",18,-8.960760084339741,110,0.1996370235934664,207,0.37568058076225047
650489,"Castro, Willi",655,0.903448275862069,467,"72.986570412",0.28854961832061077,0.2462526766595289,0.17557251908396945,0.11134903640256959,0.07938931297709924,"7.34714684",8,-16.53501625155805,188,0.2870229007633588,199,0.30381679389312977
662139,"Varsho, Daulton",575,0.9040880503144654,462,"72.900197913",0.27652173913043476,0.24458874458874458,0.19652173913043477,0.10606060606060606,0.08521739130434783,"7.682339409",3,-18.65771277572008,113,0.19652173913043477,215,0.3739130434782609
682928,"Abrams, CJ",739,0.901219512195122,546,"72.851729283",0.27469553450608936,0.33516483516483514,0.2476319350473613,0.16117216117216118,0.11907983761840325,"7.687994858",20,10.754317231145173,193,0.26116373477672533,274,0.37077131258457374
665750,"Taveras, Leody",496,0.9034608378870674,370,"72.819939839",0.2762096774193548,0.25405405405405407,0.18951612903225806,0.0945945945945946,0.07056451612903226,"7.500722298",6,-14.981255443892055,126,0.2540322580645161,173,0.3487903225806452
668804,"Reynolds, Bryan",726,0.901863354037267,542,"72.819846873",0.3099173553719009,0.3007380073800738,0.22451790633608815,0.15867158671586715,0.1184573002754821,"6.994995152",32,-4.596205488617457,184,0.2534435261707989,253,0.3484848484848485
