"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
665862,"Chisholm Jr., Jazz","L","L",30.664837281569532,26.182528993087782,25.511681467790726,-2.210123884194471,32.533071626405594,1.8682343448360519
647304,"Naylor, Josh","L","L",26.77528223085837,25.238394503688195,41.88333665530602,-1.3295715111951556,25.732150654294248,-1.0431315765641318
805367,"Meidroth, Chase","R","R",29.417791931440345,28.631085955472827,29.880107102358902,-24.527732311802115,28.968018537062253,-0.4497733943780889
686948,"Baldwin, Drake","L","L",27.879177110002967,28.490482479832274,30.458452604634278,-15.670548938368405,29.328475603532357,1.4492984935293867
656811,"O'Hearn, Ryan","L","L",24.965689629638774,30.771670943341892,26.91294723870137,-3.1765413817723243,27.315442378926743,2.3497527492879695
668715,"Steer, Spencer","R","R",28.155962027824124,25.818190872131375,31.688384058270362,-3.522187960974024,30.08527323281037,1.929311204986245
664761,"Bohm, Alec","R","R",25.29549899951756,29.478174038936746,38.88839888592114,-6.169271285089987,25.712278026678423,0.41677902716086346
621439,"Buxton, Byron","R","R",24.021806812540614,27.136620835743408,31.639247086247174,3.65100397621608,28.72713353823864,4.705326725698031
681082,"Stott, Bryson","L","L",27.234523423785742,24.39487437015074,32.76241770940754,-11.527102610264977,33.13927106911763,5.904747645331878
669065,"Stowers, Kyle","L","L",29.60639103357086,29.603970567554896,35.77084363281474,-15.604100651173386,34.069079191874934,4.462688158304071
673548,"Suzuki, Seiya","R","R",28.6292464281111,27.383174511429473,29.473486935055973,-3.3201821567122507,34.316174460552006,5.686928032440914
671277,"García Jr., Luis","L","L",29.339876390219793,27.567254677713485,29.59998720845435,-13.745882496951209,33.74400206698815,4.4041256767683645
683146,"Baty, Brett","L","L",28.477349322663336,28.941354148455048,29.551640266576186,-7.779991724472242,29.773874691680636,1.2965253690172964
621493,"Ward, Taylor","R","R",32.326233542207845,26.23100710118968,17.04602591838504,-46.94549389698269,31.570463271786455,-0.7557702704213781
661388,"Contreras, William","R","R",28.544008683570667,29.26546409468094,31.3053932374816,7.3746160788406145,30.983752910895213,2.439744227324554
571448,"Arenado, Nolan","R","R",31.694464279224743,30.329476830805195,29.428093647402253,1.5053800467993208,35.729043084981896,4.034578805757141
624585,"Soler, Jorge","R","R",27.437296740560573,29.608769292873973,39.861396712826476,-18.03536972470604,29.06629495411694,1.6289982135563603
656775,"Mullins, Cedric","L","L",31.264442883944895,24.96373575366023,34.864867248366195,-12.077101713997724,27.877776619974913,-3.3866662639699894
665926,"Giménez, Andrés","L","L",25.86175074382818,28.481903963814744,35.41740178464536,-5.5840873483908124,28.920231680169724,3.0584809363415437
673962,"Jung, Josh","R","R",21.48883184462284,25.27455641446722,24.511435580545573,-2.3386544179977875,31.577341035060453,10.088509190437613
691026,"Winn, Masyn","R","R",33.383850401760135,24.115547155289406,18.134651438683207,-38.03872071441612,33.884682666659664,0.5008322648995375
543760,"Semien, Marcus","R","R",27.619177290543174,23.160788104755127,32.86242307789619,-3.2603414265241244,29.513851244533914,1.8946739539907442
808982,"Lee, Jung Hoo","L","L",28.45806379631124,20.311827427120335,26.431658368723102,-38.17494425224135,29.342334761062926,0.8842709647516811
662139,"Varsho, Daulton","L","L",28.23583292459209,27.820163540815585,28.21066556121991,3.714588969483512,26.318471903420598,-1.917361021171493
545361,"Trout, Mike","R","R",27.879618385801006,24.509526643885,30.296909730363925,-6.152080230806208,26.00729160722665,-1.8723267785743516
700932,"Manzardo, Kyle","L","L",23.126725814743125,31.424614486742243,34.44701296079363,-2.1713654544179968,34.80267542256747,11.675949607824359
643446,"McNeil, Jeff","L","L",31.85664146948197,24.922394580979326,30.905722105446326,-0.5159721807705441,28.055322305576784,-3.8013191639051995
805300,"Marsee, Jakob","L","L",30.773906983029107,27.084795167587203,25.4615240239024,-0.8591728734754047,34.599837699855655,3.8259307168265564
543807,"Springer, George","R","R",26.683364909971388,26.7037619295021,30.09573761429118,-2.654031018510204,21.81825640493848,-4.865108505032913
571970,"Muncy, Max","L","L",28.60924327232136,28.98279850374083,21.45967112581123,-9.19869073324151,38.443612084027336,9.834368811705973
686469,"Pasquantino, Vinnie","L","L",29.09993588089793,31.409987772625346,37.727894217606455,-19.105369601738953,32.260393996328744,3.1604581154308207
676609,"Caballero, José","R","R",17.343338060162235,23.81991836229502,29.980759386200948,-23.117473014874797,32.785266171765045,15.441928111602813
656305,"Chapman, Matt","R","R",27.294884692720302,28.482295236550026,25.568589472353768,-14.105462602704733,26.205401759975114,-1.089482932745193
691016,"Soderstrom, Tyler","L","L",27.887630007325726,30.88401315992838,34.24526004245617,-4.444108638118314,29.054788680498536,1.167158673172809
641343,"Bauers, Jake","L","L",32.82065546960425,27.8356398270147,19.32943587092399,-27.422868962884603,28.416534825095763,-4.404120644508479
694212,"Basallo, Samuel","L","L",33.2453863169708,24.535567176030703,27.682402504766475,-23.03248205891531,34.34870183927814,1.103315522307323
643217,"Benintendi, Andrew","L","L",28.750406437750836,23.54377625493574,24.45140239699246,-10.161287087015083,35.555878637276976,6.805472199526124
664983,"McCarthy, Jake","L","L",29.644503659073447,30.790486198015795,22.437236010279435,-28.026881002636586,29.323918209484557,-0.32058544958888546
657757,"Sheets, Gavin","L","L",29.83480183178831,27.775636074923597,15.804746884485041,-43.99087322051064,31.34508141684085,1.5102795850525415
691720,"Karros, Kyle","R","R",22.824417825824177,27.595835570718297,36.582302212458956,-11.095225957304965,28.165978374094163,5.341560548269981
